tag_id,name,slug,language,games_count
832,Halloween,halloween,eng,3349
341,leaderboards,leaderboards,eng,307
3103,evil,evil,eng,1317
925,Coming Of Age,coming-of-age,eng,310
10215,raid,raid,eng,14
14194,deckbuilding,deckbuilding,eng,1945
1079,environment,environment,eng,7130
3116,fast,fast,eng,2165
6801,relaxation,relaxation,eng,23
749,army,army,eng,635
3574,laser,laser,eng,1274
7316,ww2,ww2,eng,79
8182,planetary,planetary,eng,11
5468,qte,qte,eng,905
1234,ambient,ambient,eng,575
513,coop,coop,eng,459
608,Forest,forest,eng,1953
610,viking,viking,eng,163
140,Hidden Object,hidden-object,eng,5744
8234,fall,fall,eng,3546
277,Villain Protagonist,villain-protagonist,eng,160
253,Chess,chess,eng,1953
1632,cars,cars,eng,5835
1497,car,car,eng,7473
20047,lifestyle,lifestyle,eng,168
8847,warfare,warfare,eng,26
47026,nato,nato,eng,2
73236,nato-forces,nato-forces,eng,1
73237,special-ops,special-ops,eng,1
40858,Other,other,eng,345
2156,drift,drift,eng,1406
8803,racing-game,racing-game,eng,42
9336,mexico,mexico,eng,82
5270,festival,festival,eng,27
12669,sprint,sprint,eng,8
27142,photorealism,photorealism,eng,2
5777,pack,pack,eng,2724
2689,rocket,rocket,eng,1697
2838,jet,jet,eng,362
5357,comics,comics,eng,436
5144,cerebral,cerebral,eng,6
327,Voice Control,voice-control,eng,32
6465,unique,unique,eng,2652
704,Traps,traps,eng,2201
3612,match,match,eng,6510
1551,ancient,ancient,eng,1362
726,japan,japan,eng,1014
1846,samurai,samurai,eng,573
7528,campaign,campaign,eng,34
55766, first-person shooter,first-person-shooter-4,eng,3
6046,vikings,vikings,eng,188
46114,Shared/Split Screen PvP,sharedsplit-screen-pvp,eng,2931
6043,communication,communication,eng,189
656,suspense,suspense,eng,1240
2180,spider,spider,eng,979
3728,memory,memory,eng,3240
1303,Shadows,shadows,eng,804
3597,tablet,tablet,eng,1725
2489,dodge,dodge,eng,2981
2743,dash,dash,eng,2283
753,god,god,eng,1113
2865,girl,girl,eng,2079
1715,fox,fox,eng,625
806,Automation,automation,eng,1521
246,Clicker,clicker,eng,9888
230,Tactical RPG,tactical-rpg,eng,2447
332,Intentionally Awkward Controls,intentionally-awkward-controls,eng,80
4388,snowboarding,snowboarding,eng,80
207,Rhythm,rhythm,eng,2614
66537,Арена-шутер,arena-shuter,eng,1912
