developer_id,name,slug,games_count,image_background
61,Gameloft,gameloft,178,https://media.rawg.io/media/screenshots/0c4/0c49e011d57a84fe32c142fd1733db0a_Bjyaqvl.jpg
2445,Engine Software,engine-software,51,https://media.rawg.io/media/screenshots/f82/f821e672660ecae45792d1002cabce15.jpg
7257,Coffee Stain Studios,coffee-stain-studios,16,https://media.rawg.io/media/screenshots/39a/39aaa74efb6b7e552e0aace893a24039.jpg
4113,Ubisoft Annecy,ubisoft-annecy,10,https://media.rawg.io/media/games/7b7/7b7f740c7f21ca6028cfc420c3f79a76.jpg
133,Focus Home Interactive,focus-home-interactive,28,https://media.rawg.io/media/screenshots/86d/86d24a5eacd7235f6a697b398fbc72b8.jpg
6214,Bloober Team,bloober-team-sa,18,https://media.rawg.io/media/screenshots/e29/e296b18bbe1f086002e0679147202fc6.jpg
14278,Santa Monica Studio,santa-monica-studio,3,https://media.rawg.io/media/games/4be/4be6a6ad0364751a96229c56bf69be59.jpg
4630,Starbreeze Studios,starbreeze-studios,17,https://media.rawg.io/media/games/0fa/0fa2ea78b337afaa4b216bc368d9312c.jpg
3619,Frontier Developments,frontier-developments,43,https://media.rawg.io/media/screenshots/5db/5dbf8a9f7e1c166e010b7685b27ce13b.jpg
8449,Frogwares,frogwares,39,https://media.rawg.io/media/screenshots/082/08263419e431b28364aa7ede8b69dcfb.jpg
11915,Supermassive Games,supermassive-games,19,https://media.rawg.io/media/games/ab0/ab0381be59467a6c54a858c6ab65a5a5.jpg
9935,2K Czech,2k-czech,15,https://media.rawg.io/media/games/432/432578df07852491ed849b998ef45af3.jpg
15,Annapurna Interactive,annapurna-interactive,10,https://media.rawg.io/media/screenshots/5a3/5a335ee04477c97d393e8ba03f8e6d91.jpg
13141,Playground Games,playground-games,14,https://media.rawg.io/media/games/705/7052ebf19b7b57ada5eeb21dea59f0e7.jpg
14511,MicroProse Software,microprose-software,122,https://media.rawg.io/media/screenshots/795/795d21b8ddd6c88510b6e44c845dbef4.jpg
14007,Nixxes,nixxes,4,https://media.rawg.io/media/games/451/451e5c6d5420d4862b9de70441cdc11a.jpg
